,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Identifier_cat,Outlet_Identifier_cat
0,156,9.3,Low Fat,4,249.8092,9,1999,Medium,Tier 1,Supermarket Type1,3735.138,FDA15,OUT049
1,8,5.92,Regular,14,48.2692,3,2009,Medium,Tier 3,Supermarket Type2,443.4228,DRC01,OUT018
2,662,17.5,Low Fat,10,141.618,9,1999,Medium,Tier 1,Supermarket Type1,2097.27,FDN15,OUT049
3,1121,19.2,Regular,6,182.095,0,1998,High,Tier 3,Grocery Store,732.38,FDX07,OUT010
4,1297,8.93,Low Fat,9,53.8614,1,1987,High,Tier 3,Supermarket Type1,994.7052,NCD19,OUT013
5,758,10.395,Regular,0,51.4008,3,2009,Medium,Tier 3,Supermarket Type2,556.6088,FDP36,OUT018
6,696,13.65,Regular,13,57.6588,1,1987,High,Tier 3,Supermarket Type1,343.5528,FDO10,OUT013
7,738,12.857645184136183,Low Fat,13,107.7622,5,1985,Medium,Tier 3,Supermarket Type3,4022.7636,FDP10,OUT027
8,440,16.2,Regular,5,96.9726,7,2002,High,Tier 2,Supermarket Type1,1076.5986,FDH17,OUT045
9,990,19.2,Regular,5,187.8214,2,2007,High,Tier 2,Supermarket Type1,4710.535,FDU28,OUT017
10,1171,11.8,Low Fat,6,45.5402,9,1999,Medium,Tier 1,Supermarket Type1,1516.0266,FDY07,OUT049
11,147,18.5,Regular,4,144.1102,8,1997,Small,Tier 1,Supermarket Type1,2187.153,FDA03,OUT046
12,1142,15.1,Regular,6,145.4786,9,1999,Medium,Tier 1,Supermarket Type1,1589.2646,FDX32,OUT049
13,904,17.6,Regular,13,119.6782,8,1997,Small,Tier 1,Supermarket Type1,2145.2076,FDS46,OUT046
14,375,16.35,Low Fat,6,196.4426,1,1987,High,Tier 3,Supermarket Type1,1977.426,FDF32,OUT013
15,767,9.0,Regular,2,56.3614,8,1997,Small,Tier 1,Supermarket Type1,1547.3192,FDP49,OUT046
16,1280,11.8,Low Fat,8,115.3492,3,2009,Medium,Tier 3,Supermarket Type2,1621.8888,NCB42,OUT018
17,767,9.0,Regular,2,54.3614,9,1999,Medium,Tier 1,Supermarket Type1,718.3982,FDP49,OUT049
18,79,12.857645184136183,Low Fat,7,113.2834,5,1985,Medium,Tier 3,Supermarket Type3,2303.668,DRI11,OUT027
19,968,13.35,Low Fat,4,230.5352,6,2004,Small,Tier 2,Supermarket Type1,2748.4224,FDU02,OUT035
20,666,18.85,Regular,13,250.8724,1,1987,High,Tier 3,Supermarket Type1,3775.086,FDN22,OUT013
21,1076,12.857645184136183,Regular,0,144.5444,5,1985,Medium,Tier 3,Supermarket Type3,4064.0432,FDW12,OUT027
22,1278,14.6,Low Fat,9,196.5084,6,2004,Small,Tier 2,Supermarket Type1,1587.2672,NCB30,OUT035
23,259,12.857645184136183,Low Fat,0,107.6938,4,1985,Small,Tier 1,Grocery Store,214.3876,FDC37,OUT019
24,843,13.85,Regular,5,165.021,8,1997,Small,Tier 1,Supermarket Type1,4078.025,FDR28,OUT046
25,1294,13.0,Low Fat,9,45.906,2,2007,High,Tier 2,Supermarket Type1,838.908,NCD06,OUT017
26,1024,7.645,Regular,13,42.3112,6,2004,Small,Tier 2,Supermarket Type1,1065.28,FDV10,OUT035
27,101,11.65,Low Fat,7,39.1164,1,1987,High,Tier 3,Supermarket Type1,308.9312,DRJ59,OUT013
28,350,5.925,Regular,4,45.5086,0,1998,High,Tier 3,Grocery Store,178.4344,FDE51,OUT010
29,244,12.857645184136183,Regular,3,43.6454,4,1985,Small,Tier 1,Grocery Store,125.8362,FDC14,OUT019
30,1048,19.25,Low Fat,4,55.7956,0,1998,High,Tier 3,Grocery Store,163.7868,FDV38,OUT010
31,1480,18.6,Low Fat,8,96.4436,3,2009,Medium,Tier 3,Supermarket Type2,2741.7644,NCS17,OUT018
32,756,18.7,Low Fat,13,256.6672,3,2009,Medium,Tier 3,Supermarket Type2,3068.0064,FDP33,OUT018
33,706,17.85,Low Fat,1,93.1436,7,2002,High,Tier 2,Supermarket Type1,2174.5028,FDO23,OUT045
34,64,17.5,Low Fat,14,174.8738,8,1997,Small,Tier 1,Supermarket Type1,2085.2856,DRH01,OUT046
35,1533,10.0,Low Fat,8,146.7102,9,1999,Medium,Tier 1,Supermarket Type1,3791.0652,NCX29,OUT049
36,1032,12.857645184136183,Regular,6,128.0678,5,1985,Medium,Tier 3,Supermarket Type3,2797.6916,FDV20,OUT027
37,143,8.85,Regular,14,122.5388,3,2009,Medium,Tier 3,Supermarket Type2,1609.9044,DRZ11,OUT018
38,1124,12.857645184136183,Regular,13,36.9874,5,1985,Medium,Tier 3,Supermarket Type3,388.1614,FDX10,OUT027
39,214,12.857645184136183,Low Fat,13,87.6198,5,1985,Medium,Tier 3,Supermarket Type3,2180.495,FDB34,OUT027
40,968,13.35,Low Fat,4,230.6352,8,1997,Small,Tier 1,Supermarket Type1,3435.528,FDU02,OUT046
41,567,9.8,Low Fat,10,126.002,1,1987,High,Tier 3,Supermarket Type1,2150.534,FDK43,OUT013
42,180,13.6,Low Fat,13,192.9136,9,1999,Medium,Tier 1,Supermarket Type1,2527.3768,FDA46,OUT049
43,236,21.35,Low Fat,3,259.9278,3,2009,Medium,Tier 3,Supermarket Type2,6768.5228,FDC02,OUT018
44,611,12.15,Regular,3,126.5046,1,1987,High,Tier 3,Supermarket Type1,373.5138,FDL50,OUT013
45,641,6.42,Low Fat,4,178.1002,0,1998,High,Tier 3,Grocery Store,358.2004,FDM39,OUT010
46,1438,19.6,Low Fat,8,153.3024,7,2002,High,Tier 2,Supermarket Type1,2428.8384,NCP05,OUT045
47,1057,10.0,Low Fat,3,265.2226,7,2002,High,Tier 2,Supermarket Type1,5815.0972,FDV49,OUT045
48,586,15.85,Regular,0,60.622,8,1997,Small,Tier 1,Supermarket Type1,2576.646,FDL12,OUT046
49,869,12.857645184136183,Regular,4,196.8794,4,1985,Small,Tier 1,Grocery Store,780.3176,FDS02,OUT019
50,1378,7.39,Low Fat,8,143.8812,8,1997,Small,Tier 1,Supermarket Type1,3134.5864,NCL17,OUT046
51,642,10.195,Low Fat,5,141.5154,1,1987,High,Tier 3,Supermarket Type1,850.8924,FDM40,OUT013
52,830,9.895,Regular,3,117.0492,1,1987,High,Tier 3,Supermarket Type1,810.9444,FDR13,OUT013
53,177,10.895,Low Fat,6,196.3794,2,2007,High,Tier 2,Supermarket Type1,3121.2704,FDA43,OUT017
54,1442,12.15,Low Fat,9,151.4708,2,2007,High,Tier 2,Supermarket Type1,4815.0656,NCP18,OUT017
55,553,7.905,Low Fat,13,249.0408,3,2009,Medium,Tier 3,Supermarket Type2,6258.52,FDK21,OUT018
56,1538,9.195,Low Fat,9,106.1622,7,2002,High,Tier 2,Supermarket Type1,2117.244,NCX54,OUT045
57,107,8.365,Low Fat,7,38.0506,9,1999,Medium,Tier 1,Supermarket Type1,796.9626,DRK35,OUT049
58,1183,15.1,Low Fat,13,194.511,8,1997,Small,Tier 1,Supermarket Type1,4910.275,FDY21,OUT046
59,485,12.857645184136183,Low Fat,3,180.0344,4,1985,Small,Tier 1,Grocery Store,892.172,FDI26,OUT019
60,629,10.0,Low Fat,6,246.9144,3,2009,Medium,Tier 3,Supermarket Type2,3185.1872,FDM20,OUT018
61,1039,7.97,Regular,10,87.3514,7,2002,High,Tier 2,Supermarket Type1,1062.6168,FDV27,OUT045
62,361,12.857645184136183,Low Fat,6,38.2848,5,1985,Medium,Tier 3,Supermarket Type3,484.7024,FDF09,OUT027
63,1199,12.857645184136183,Regular,5,51.0692,4,1985,Small,Tier 1,Grocery Store,147.8076,FDY40,OUT019
64,1202,12.857645184136183,Low Fat,13,255.8356,5,1985,Medium,Tier 3,Supermarket Type3,2543.356,FDY45,OUT027
